DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,binary_data
COLOR,#ff0000
FIELD_LABELS,rl0
FIELD_COLORS,#000000
FIELD_SHAPES,4
SHOW_INTERNAL,0
MARGIN,0
HEIGHT_FACTOR,1
SYMBOL_SPACING,10
DATA
Acidobacteria,-1
Acidobacterium_capsulatum,0
Actinobacteridae,-1
Actinomycetales,-1
Actinopterygii,-1
Aeropyrum_pernix,0
Agrobacterium_tumefaciens_Cereon,-1
Agrobacterium_tumefaciens_WashU,-1
Alphaproteobacteria,-1
Anopheles_gambiae,0
Apicomplexa,-1
Aquifex_aeolicus,0
Arabidopsis_thaliana,0
Archaea,-1
Archaeoglobus_fulgidus,0
Ascomycota,-1
Bacillaceae,-1
Bacillales,-1
Bacilli,-1
Bacillus,0
Bacillus_anthracis,0
Bacillus_cereus_ATCC_10987,0
Bacillus_cereus_ATCC_14579,0
Bacillus_halodurans,0
Bacillus_subtilis,0
Bacteria,-1
Bacteroidales,-1
Bacteroides_thetaiotaomicron,0
Bdellovibrio_bacteriovorus,0
Betaproteobacteria,-1
Bifidobacterium_longum,0
Blochmannia_floridanus,0
Bordetella,-1
Bordetella_bronchiseptica,0
Bordetella_parapertussis,0
Bordetella_pertussis,0
Borrelia_burgdorferi,0
Bradyrhizobiaceae,-1
Bradyrhizobium_japonicum,0
Brucella,-1
Brucella_melitensis,0
Brucella_suis,0
Buchnera,0
Buchnera_aphidicola_APS,-1
Buchnera_aphidicola_Bp,-1
Buchnera_aphidicola_Sg,-1
Burkholderiales,-1
Caenorhabditis,-1
Caenorhabditis_briggsae,0
Caenorhabditis_elegans,0
Campylobacter_jejuni,0
Campylobacterales,-1
Caulobacter_crescentus,0
Chlamydia,-1
Chlamydia_muridarum,0
Chlamydia_pneumoniae_AR39,-1
Chlamydia_pneumoniae_CWL029,-1
Chlamydia_pneumoniae_J138,-1
Chlamydia_trachomatis,0
Chlamydiaceae,-1
Chlamydophila,-1
Chlamydophila_caviae,0
Chlamydophila_pneumoniae_TW183,0
Chlorobium_tepidum,0
Chromobacterium_violaceum,0
Clostridia,-1
Clostridium,-1
Clostridium_acetobutylicum,0
Clostridium_perfringens,0
Clostridium_tetani,0
Corynebacterineae,-1
Corynebacterium,-1
Corynebacterium_diphtheriae,0
Corynebacterium_efficiens,0
Corynebacterium_glutamicum,-1
Corynebacterium_glutamicum_13032,-1
Coxiella_burnetii,0
Cryptosporidium_hominis,0
Cyanidioschyzon_merolae,0
Cyanobacteria,-1
Danio_rerio,0
Dehalococcoides_ethenogenes,0
Deinococci,-1
Deinococcus_radiodurans,0
Deltaproteobacteria,-1
Desulfovibrio_vulgaris,0
Dictyostelium_discoideum,0
Diptera,-1
Drosophila_melanogaster,0
Enterobacteriaceae,-1
Enterococcus_faecalis,0
Eremothecium_gossypii,0
Escherichia,-1
Escherichia_coli_EDL933,-1
Escherichia_coli_K12,0
Escherichia_coli_O157_H7,-1
Escherichia_coli_O6,-1
Euarchontoglires,-1
Eukaryota,-1
Euryarchaeota,-1
Fibrobacter_succinogenes,0
Firmicutes,-1
Fusobacterium_nucleatum,0
Gallus_gallus,0
Gammaproteobacteria,-1
Gemmata_obscuriglobus,0
Geobacter_sulfurreducens,0
Giardia_lamblia,0
Gloeobacter_violaceus,0
Gnathostomata,-1
Haemophilus_ducreyi,0
Haemophilus_influenzae,0
Halobacterium_sp._NRC-1,0
Helicobacter,-1
Helicobacter_hepaticus,0
Helicobacter_pylori_26695,0
Helicobacter_pylori_J99,0
Helicobacteraceae,-1
Hominidae,-1
Homo_sapiens,0
Lactobacillales,-1
Lactobacillus,-1
Lactobacillus_johnsonii,0
Lactobacillus_plantarum,0
Lactococcus_lactis,0
Leishmania_major,0
Leptospira,-1
Leptospira_interrogans_56601,-1
Leptospira_interrogans_L1-130,-1
Listeria,-1
Listeria_innocua,0
Listeria_monocytogenes_EGD,-1
Listeria_monocytogenes_F2365,-1
Metazoa,-1
Methanobacterium_thermautotrophicum,0
Methanococcales,-1
Methanococcus_jannaschii,0
Methanococcus_maripaludis,0
Methanopyrus_kandleri,0
Methanosarcina,-1
Methanosarcina_acetivorans,0
Methanosarcina_mazei,0
Mollicutes,-1
Murinae,-1
Mus_musculus,0
Mycobacterium,-1
Mycobacterium_bovis,0
Mycobacterium_leprae,0
Mycobacterium_paratuberculosis,0
Mycobacterium_tuberculosis_CDC1551,0
Mycobacterium_tuberculosis_H37Rv,0
Mycoplasma,-1
Mycoplasma_gallisepticum,0
Mycoplasma_genitalium,0
Mycoplasma_mobile,0
Mycoplasma_mycoides,0
Mycoplasma_penetrans,0
Mycoplasma_pneumoniae,0
Mycoplasma_pulmonis,0
Mycoplasmataceae,-1
Nanoarchaeum_equitans,0
Neisseria,-1
Neisseria_meningitidis_A,-1
Neisseria_meningitidis_B,-1
Neisseriaceae,-1
Nitrosomonas_europaea,0
Nostoc_sp._PCC_7120,0
Oceanobacillus_iheyensis,0
Oryza_sativa,0
Pan_troglodytes,0
Pasteurella_multocida,0
Pasteurellaceae,-1
Photobacterium_profundum,0
Photorhabdus_luminescens,0
Phytoplasma_Onion_yellows,-1
Planctomycetaceae,-1
Plasmodium_falciparum,0
Porphyromonas_gingivalis,0
Prochlorococcus_marinus_CCMP1378,-1
Prochlorococcus_marinus_MIT9313,0
Prochlorococcus_marinus_SS120,0
Proteobacteria,-1
Pseudomonas,-1
Pseudomonas_aeruginosa,0
Pseudomonas_putida,0
Pseudomonas_syringae,0
Pyrobaculum_aerophilum,0
Pyrococcus,-1
Pyrococcus_abyssi,0
Pyrococcus_furiosus,0
Pyrococcus_horikoshii,0
Ralstonia_solanacearum,0
Rattus_norvegicus,0
Rhizobiales,-1
Rhizobium_loti,0
Rhizobium_meliloti,0
